La	F	dta	D50a	Fd	dsa	Source
55	4.868950283	12.8	0.08	13.40134459	5.9	DeyandSarkar2008
50	4.757203883	12.3	0.08	13.09377275	6.1	DeyandSarkar2008
50	4.182508112	11.4	0.08	11.5119747	5.9	DeyandSarkar2008
40	4.097909763	11.28	0.064	12.61044557	4.96	DeyandSarkar2008
40	3.855176432	10.24	0.064	11.86348537	4.08	DeyandSarkar2008
33.33333333	3.154316278	10.86666667	0.053333333	10.633198	3.933333333	DeyandSarkar2008
33.33333333	2.580804227	9.066666667	0.053333333	8.699889275	3.533333333	DeyandSarkar2008
40	4.757203883	12.3	0.08	13.09377275	6.4	DeyandSarkar2008
40	4.182508112	11.4	0.08	11.5119747	0.6	DeyandSarkar2008
32	4.097909763	11.28	0.064	12.61044557	5.52	DeyandSarkar2008
32	3.855176432	10.24	0.064	11.86348537	5.04	DeyandSarkar2008
26.66666667	3.154316278	10.86666667	0.053333333	10.633198	5.133333333	DeyandSarkar2008
26.66666667	2.580804227	9.066666667	0.053333333	8.699889275	4.133333333	DeyandSarkar2008
55	4.868950283	12.8	0.186	8.788948016	3.9	DeyandSarkar2008
50	4.757203883	12.3	0.186	8.587234455	5.9	DeyandSarkar2008
50	4.182508112	11.4	0.186	7.549850427	4.5	DeyandSarkar2008
40	4.097909763	11.28	0.1488	8.270256002	4.16	DeyandSarkar2008
40	3.855176432	10.24	0.1488	7.780380211	2.88	DeyandSarkar2008
33.33333333	3.154316278	10.86666667	0.124	6.973525967	3.533333333	DeyandSarkar2008
33.33333333	2.580804227	9.066666667	0.124	5.705612155	2.466666667	DeyandSarkar2008
40	4.757203883	12.3	0.186	8.587234455	6	DeyandSarkar2008
40	4.182508112	11.4	0.186	7.549850427	5.7	DeyandSarkar2008
32	4.097909763	11.28	0.1488	8.270256002	4.96	DeyandSarkar2008
32	3.855176432	10.24	0.1488	7.780380211	4.72	DeyandSarkar2008
26.66666667	3.154316278	10.86666667	0.124	6.973525967	3.933333333	DeyandSarkar2008
26.66666667	2.580804227	9.066666667	0.124	5.705612155	3.866666667	DeyandSarkar2008
55	4.868950283	12.8	0.3	6.920424589	3	DeyandSarkar2008
50	4.757203883	12.3	0.3	6.761595172	3.3	DeyandSarkar2008
50	4.182508112	11.4	0.3	5.944758171	3.2	DeyandSarkar2008
40	4.097909763	11.28	0.24	6.512006088	4.08	DeyandSarkar2008
40	3.855176432	10.24	0.24	6.126277505	2.8	DeyandSarkar2008
33.33333333	3.154316278	10.86666667	0.2	5.490959837	3.4	DeyandSarkar2008
33.33333333	2.580804227	9.066666667	0.2	4.492603503	3.266666667	DeyandSarkar2008
